School,enrolled,over_25,over_23,independent,dependent,unemployment,median_family_income,poverty_rate,admissions_rate,sat_mid_reading,sat_mid_math,sat_mid_writing,sat_mid_overall,region
Immokalee Technical College,,0.1285,,,,,,,,,,,,5
American Academy of Cosmetology,,0.6224,,,,,,,,,,,,5
University of Fort Lauderdale,,0.3667,,,,,,,,,,,,5
Aviation Institute of Maintenance-Orlando,,0.5287,,,,,,,,,,,,5
Summit Salon Academy-Portland,,0.1017,,,,,,,,,,,,8
Summit Salon Academy-Gainesville,,0.4267,,,,,,,,,,,,5
Tenaj Salon Institute,,0.3269,,,,,,,,,,,,5
Profile Institute of Barber-Styling,,0.5417,,,,,,,,,,,,5
Keune Academy by 124,,0.1789,,,,,,,,,,,,5
Pacific Rim Christian University,,0.5776,,,,,,,0.4722,,,,,8
Paul Mitchell the School-Twin Falls,,0.2222,,,,,,,,,,,,7
Ambria College of Nursing,,0.7805,,,,,,,,,,,,3
Midwestern Career College,,0.7093,,,,,,,,,,,,3
Paul Mitchell the School-Normal,,0.1386,,,,,,,,,,,,3
Innovations Design Academy,,0.3182,,,,,,,,,,,,3
Aveda Fredric's Institute-Indianapolis,,0.2364,,,,,,,,,,,,3
Summit Salon Academy-Portland,,0.1017,,,,,,,,,,,,8
Eric Fisher Academy,,0.2286,,,,,,,,,,,,4
My Le's Beauty College,,0.7559,,,,,,,,,,,,8
Blackstone Valley Vocational Regional School District,,0.6538,,,,,,,,,,,,1
Southern Worcester County Regional Vocational School District,,0.6333,,,,,,,,,,,,1
L'esprit Academy,,0.4514,,,,,,,,,,,,3
Marketti Academy of Cosmetology,,0.4355,,,,,,,,,,,,3
Avalon School of Cosmetology-Aurora,,0.4231,,,,,,,,,,,,7
American Business and Technology University,,0.8577,,,,,,,,,,,,4
City Vision University,,0.9,,,,,,,,,,,,4
Bitterroot School of Cosmetology,,0.2143,,,,,,,,,,,,7
Montana Academy of Salons,,0.4268,,,,,,,,,,,,7
National Career Institute,,0.6762,,,,,,,,,,,,2
International Academy of Style,,0.4865,,,,,,,,,,,,8
EDP School,,0.9216,,,,,,,,,,,,2
New York Medical Career Training Center,,0.5486,,,,,,,,,,,,2
Institute of Culinary Education,,0.6387,,,,,,,,,,,,2
The Salon Professional Academy-Tonawanda,,0.5203,,,,,,,,,,,,2
Onondaga School of Therapeutic Massage-Syracuse,,0.807,,,,,,,,,,,,2
Academy of Cosmetology and Esthetics NYC,,0.3171,,,,,,,,,,,,2
Four County Career Center,,0.6591,,,,,,,,,,,,3
Summit Salon Academy-Perrysburg,,0.2295,,,,,,,,,,,,3
Portland Actors Conservatory,,0.25,,,,,,,0.5556,,,,,8
Somerset County Technology Center,,0.4935,,,,,,,,,,,,2
Metro Beauty Academy,,0.2929,,,,,,,,,,,,2
Academy for Careers and Technology,,0.7368,,,,,,,,,,,,5
Aiken School of Cosmetology and Barbering,,0.4211,,,,,,,,,,,,5
Love Beauty School Inc,,0.4667,,,,,,,,,,,,5
Houston International College Cardiotech Ultrasound School,,0.7167,,,,,,,,,,,,6
DuVall's School of Cosmetology,,0.479,,,,,,,,,,,,6
Central Texas Beauty College-Round Rock,,0.5897,,,,,,,,,,,,6
Avenue Five Institute,,0.5451,,,,,,,,,,,,6
The Salon Professional Academy-Lewisville,,0.3729,,,,,,,,,,,,6
Renaissance Academie,,0.2381,,,,,,,,,,,,7
Antioch College AG,,1.0,,,,,,,,,,,,5
Institute of Advanced Medical Esthetics,,0.5,,,,,,,,,,,,5
Gary Manuel Aveda Institute,,0.4699,,,,,,,,,,,,8
Northwest School of Wooden Boat Building,,0.7692,,,,,,,,,,,,8
The Salon Professional Academy-Onalaska,,0.2353,,,,,,,,,,,,3
West Coast University-Orange County,,0.5243,,,,,,,,,,,,8
West Coast University-Ontario,,0.4937,,,,,,,,,,,,8
Midwest Technical Institute-East Peoria,,0.3582,,,,,,,,,,,,3
Paul Mitchell the School-Chicago,,0.3049,,,,,,,,,,,,3
Platt College-Miller-Motte-Fayetteville,,0.765,,,,,,,,,,,,5
European Massage Therapy School-Las Vegas,,1.0,,,,,,,,,,,,8
Platt College-Miller-Motte Technical-Columbus,,0.6848,,,,,,,,,,,,5
The Art Institute of Virginia Beach,,0.3589,,,,,,,,,,,,5
Fortis College-Indianapolis,,0.608,,,,,,,,,,,,3
Empire Beauty School-E Memphis,,0.5038,,,,,,,,,,,,5
Empire Beauty School-Nashville,,0.4848,,,,,,,,,,,,5
Empire Beauty School-Jackson,,0.5217,,,,,,,,,,,,5
Empire Beauty School-Springfield,,0.4621,,,,,,,,,,,,2
Empire Beauty School-Speedway,,0.5762,,,,,,,,,,,,3
Empire Beauty School-Morrow,,0.5668,,,,,,,,,,,,5
Strayer University-Arkansas,,0.8391,,,,,,,,,,,,5
Strayer University-Georgia,,0.8408,,,,,,,,,,,,5
