0
American Fitness and Nutrition Academy
San Diego Global Knowledge University
Global Tech College
Bristol School of Hair Design
MCI
Central Pennsylvania Diesel Institute
Bellasa Professional Institute
PMCA Pittsburgh Multicultural Cosmetology Academy
Health and Technology Training Institute
Yeshiva of Ocean
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander
Young Americans College of the Performing Arts
Pro Beauty Academy
South Eastern Beauty Academy
Ohel Margulia Seminary
Montana Barber Institute
Yeshivat Hechal Shemuel
Puerto Rico School of Nurse Anesthetists
American Institute of Healthcare & Technology
Premier Academy of Cosmetology
Yeshiva Gedolah of Woodlake Village
Yeshiva Gedola Tiferes Yaakov Yitzchok
University of Arkansas System eVersity
Careers Institute of America
Houston Barber School
MIXED Institute of Cosmetology & Barber
Vski Cosmetology School
Shear Perfection Academy of Cosmetology
New York Seminary
Deluxe Barber College
Falcon Institute of Health and Science
College Unbound
Midwest Barber College
SANS Technology Institute
Southern Careers Institute-Waco
Elevate Salon Institute
Ponce Health Sciences University-St Louis
Lil Lou's Beauty and Barber College-Hammond
Arizona College-Dallas
The Salon Professional Academy-Washington DC
Valley College-Cleveland
National American University-Kings Bay
EDP University of Puerto Rico-Humacao
EDP University of Puerto Rico-Manati
UEI College-Sacramento
Fortis Institute-Cookeville
Derech Hachaim Seminary
Avenue Five Institute-South Austin Campus
Glasgow Caledonian New York College
Pima Medical Institute-San Antonio
Lotus School of Integrated Professions
Christ Mission College
Esteem Academy of Beauty
KC Beauty Academy
Urshan College
Texas Healthtech Institute
Xtylo Beauty College
Tonsorial Arts Barber College
Michael's Barber & Hair Stylist Academy
Yeshiva Yesoda Hatorah Vetz Chaim
Glendale Career College-Brightwood Teachout
West Virginia Junior College-United Career Institute
Aviation Institute of Maintenance-Charlotte
Ponce Health Sciences University-East
Fortis College-Landover
Stautzenberger College-Rockford Career College
WellSpring School of Allied Health-Wichita
Access Careers-Islandia
Troy University-Phenix City Campus
Troy University-Montgomery Campus
Troy University-Dothan Campus
Troy University-Online
Troy University-Support Sites
Arkansas College of Barbering and Hair Design
Harding School of Theology
Career Academy of Hair Design-Siloam Springs
Career Academy of Hair Design-Rogers
Career Academy of Hair Design-Fayetteville
Career Academy of Hair Design - Fort Smith
University of Arkansas Community College at Hope - Texarkana
Alliant International University-Fresno
Alliant International University-Los Angeles
Alliant International University-San Francisco
Alliant International University-Irvine
Alliant International University-Sacramento
Flashpoint Chicago A Campus of Columbia College Hollywood
San Jose Campus
Golden Gate University-Seattle
Golden Gate University-Silicon Valley
Humphreys College-Modesto
TONI&GUY Hairdressing Academy - Costa Mesa
IDEA at ATEP
Life Pacific University-Virginia
MiraCosta College - San Elijo Campus
Mount Saint Mary's University - Doheny Campus
San Diego State University-Imperial Valley Campus
San Joaquin General Hospital School of Radiation Technology
San Joaquin Valley College - Hanford
San Joaquin Valley College - Online
San Joaquin Valley College - Bakersfield
San Joaquin Valley College - Fresno
San Joaquin Valley College - Fresno Trades Education Center
San Joaquin Valley College - Ontario
San Joaquin Valley College - Modesto
San Joaquin Valley College - Rancho Cordova
San Joaquin Valley College - Hesperia
San Joaquin Valley College - Temecula
San Joaquin Valley College - Lancaster
San Joaquin Valley College - Madera
San Joaquin Valley College - Delano
San Joaquin Valley College - Atascadero
Jesuit School of Theology of Santa Clara University
Thomas Aquinas College - New England
Wright Institute (The) -
Colorado Technical University-Denver
Denver Seminary - Washington DC
Otero Junior College - La Junta High School
Three Rivers Community College - Corrigan-Radgowski Correctional Cente
Three Rivers Community College - York Correctional Institution
Porter and Chester Institute of Rocky Hill
Porter and Chester Institute of Enfield
Porter and Chester Institute of Waterbury
Porter and Chester Institute of Worcester
Porter and Chester Institute - New London
Delaware Technical Community College-Owens
Delaware Technical Community College-Stanton/Wilmington
Barry University Law School
Keiser University-Melbourne
Keiser University-Tallahassee
Keiser University-Daytona
Keiser University-Lakeland
Keiser University- Miami
Keiser University-Orlando
Keiser University-Sarasota
Keiser University-Jacksonville
Keiser University-Tampa
Keiser University-Pembroke Pines
Keiser University-Port St Lucie
Keiser University-West Palm Beach
Keiser University-Ft Myers
Keiser University -  Clearwater
Keiser University - NPR
Keiser University - Residential
Maynard A. Traviss Technical College - Central Florida Aerospace Academy
Miami Lakes Educational Center and Technical College -
Rasmussen College-New Port Richey
Rasmussen College-Fort Myers
Rasmussen College-Tampa/Brandon
East Georgia State College - Statesboro
East Georgia State College - Augusta
Moody Theological Seminary and Graduate School--Michigan
Triton College - Intl Union of Operating Engr Local 399 Trning Fac.
PJ's College of Cosmetology- Brownsburg
PJ's College of Cosmetology- Jeffersonville
Ivy Tech Community College-Northcentral
Ivy Tech Community College-Columbus
Ivy Tech Community College-East Central
Ivy Tech Community College-Kokomo
Ivy Tech Community College-Lafayette
Ivy Tech Community College-Northeast
Ivy Tech Community College-South Central
Ivy Tech Community College-Southwest
Ivy Tech Community College-Wabash Valley
Ivy Tech Community College-Richmond
Ivy Tech Community College-Northwest
Ivy Tech Community College-Southeast
Ivy Tech Community College-Bloomington
Ivy Tech Community College-Central Indiana
Indiana Wesleyan University - Marion Design Co.
University of Notre Dame -
Graceland University - Independence
Baker University School of Nursing
Coffeyville Technical Campus
Columbus Technical Campus
Old Town Barber College - KC
PJ's College of Cosmetology- Greenfield
PJ's College of Cosmetology- Muncie
PJ's College of Cosmetology- Indianapolis
PJ's College of Cosmetology- Plainfield
PJ's College of Cosmetology- Louisville
Southeastern Louisiana University - EBR Parish School System Prof Dev
Southeastern Louisiana University - St Amant High School
Southeastern Louisiana University - Destrahan High School
Southeastern Louisiana University - Albert Cammon Middle School
Empire Beauty School-Bangor
Cecil College - Elkton Station
Hillsdale Beauty College
Baker College of Auburn Hills
Baker College of Cadillac
Baker College of Jackson
Baker College of Muskegon
Davenport University-Warren Location
Davenport University-Kalamazoo Location
Davenport University-Lansing Location
Davenport University-Midland Location
Davenport University-Holland Location
Davenport University-Traverse City Location
Davenport University - Wayne CCCD
Davenport University - Detroit
Anoka-Ramsey Community College-Cambridge Campus
Central Lakes College-Staples Campus
M State - Detroit Lakes Campus
M State - Moorhead Campus
M State - Wadena Campus
South Central College-Faribault
Mayo Clinic College of Medicine and Science - Florida
Mayo Clinic College of Medicine and Science - Arizona
Mesabi Range College
Northland Community and Technical College - East Grand Forks
Rasmussen College-Bloomington
Rasmussen College-Eagan
Rasmussen College-Mankato
Rasmussen College-Brooklyn Park
Rasmussen College-Lake Elmo/Woodbury
Rasmussen College-Blaine
Minnesota State CollegeSoutheast-Red Wing Campus
Copiah-Lincoln Community College Simpson County Center
Copiah-Lincoln Community College-Natchez Campus
University of Mississippi Medical Center
Pearl River Community College-Forrest County Center
Columbia College - Redstone Arsenal
Columbia College - Denver
Columbia College - NAS Jacksonville
Columbia College - Orlando
Columbia College - Crystal Lake Campus
Columbia College - Kansas City
Columbia College - Fort Leonard Wood
Columbia College - Jefferson City
Columbia College - Lake Ozark
Columbia College - Saint Louis
Columbia College - Fort Worth
Columbia College - Salt Lake
Columbia College - Lake County
Columbia College - Naval Station Everett/Marysville
Columbia College - Freeport
Columbia College - Springfield
Columbia College - Rolla
Columbia College - Los Alamitos
Columbia College - Lemoore
Columbia College - San Luis Obispo
Columbia College - Fort Stewart
Columbia College - Hunter Army Airfield
Columbia College - Elgin
Columbia College - Whidbey Island
Columbia College -  Jacksonville
Columbia College - Fort Sill
Columbia College - San Diego
Columbia College - Mesquite
Columbia College - Waynesville
Columbia College - Naval Base San Diego
Columbia College - Imperial
Columbia College - NSB Kings Bay
Evangel University - Assemblies of God Theological Seminary
Lindenwood University-Belleville
City College Montana State University Billings
University of Montana (The) - Bitterroot College University of Montana
New Hampshire Institute for Therapeutic Arts
American Institute
Monmouth University -  Monmouth Park Corporate Center
Bard College - Holyoke Microcollege
Bard College - Coxsackie Correctional Facility
Bard College - Eastern NY Correctional Facility
Bard College - Fishkill Correctional Facility
Bard College - Green Haven Correctional Facility
Bard College - Taconic Correctional Facility
Bard College - Woodbourne Correctional Facility
Bard College - BHSEC Newark
Bard College - Brooklyn Public Library
Bryant & Stratton College-Syracuse
Bryant & Stratton College-Amherst
Bryant & Stratton College-Southtowns
Bryant & Stratton College-Henrietta
Culinary Institute of America at Greystone
Culinary Institute of America San Antonio
CUNY Brooklyn College - Feirstein Graduate School of Cinema
Jamestown Business College -
NYSMedical&Dental Assistants - American Institute of Clinical Massage
Pratt Manhattan-A Division of Pratt Institute
Rabbinical Seminary of America-Ma'yan HaTorah
Saint John's University - Staten Island Campus
Gaston College
Winston - Salem Barber School - Satellite
Bryant & Stratton College-Akron
Bryant & Stratton College-Solon
Bryant & Stratton College-Cleveland
Hebrew Union College-Jewish Institute of Religion-Cincinnati
Hebrew Union College-Jewish Institute of Religion-Los Angeles
Kettering College - Ollie Davis Medical Arts and Education Center
Mount Carmel College of Nursing - Fairfield
Los Angeles Center
Florida Center
Sacramento Center
Western Seminary-San Jose
Western Seminary-Sacramento
The Beauty Institute
Bucks County Community College-Upper Bucks Campus
Bucks County Community College-Lower Bucks Campus
Harrisburg Area Community College-Lancaster
Harrisburg Area Community College-Gettysburg
Harrisburg Area Community College-Lebanon
Harrisburg Area Community College-York
New Castle School of Trades
New Castle School of Trades - East Liverpool Campus
Northampton County Area Community College-Monroe
South Hills School of Business and Technology-Altoona
Galveston College - Charlie Thomas Family Applied Technology Center
San Jacinto College-North Campus
San Jacinto College-South Campus
Texas A & M University Health Science Center
Snow College-Richfield Campus
Northern Vermont University - Lyndon
Bluefield College - Edward Via College of Osteopathic Medicine
Bryant & Stratton College-Richmond
Bryant & Stratton College-Hampton
Strayer University-Alexandria Campus
Strayer University-Woodbridge Campus
Strayer University-Loudoun Campus
Strayer University-Fredericksburg Campus
Strayer University-Chesterfield Campus
Strayer University-Newport News Campus
Strayer University-Virginia Beach Campus
Union Presbyterian Seminary-Charlotte
Washington State University-Vancouver
Washington State University-Spokane
Washington State University-Tri Cities
NUC University - Arecibo
NUC University - Rio Grande
NUC University - Ponce
NUC University - Caguas
NUC University - Mayaguez
University of the Virgin Islands-Albert A. Sheen
Purdue University - Purdue Polytechnic Anderson
Purdue University - Purdue Polytechnic Indianapolis
Purdue University - Purdue Polytechnic South Bend
Purdue University - Purdue Polytechnic New Albany
Purdue University - Purdue Polytechnic Columbus
Purdue University - Purdue Polytechnic Kokomo
Purdue University - Purdue Polytechnic Richmond
Purdue University - Purdue Polytechnic Lafayette
Purdue University - Purdue Polytechnic Vincennes
ECPI University-Newport News
ECPI University-Greensboro
ECPI University-Charlotte
ECPI University-Greenville
ECPI University-Manassas
ECPI University-Charleston
ECPI University-Raleigh
ECPI University-Columbia
ECPI University-Culinary Institute of Virginia
ECPI University-Virginia Beach Health Sciences
ECPI University-Richmond South
ECPI University-Innsbrook
ECPI University-Richmond West
ECPI University - Roanoke
ECPI University - College of Nursing - Orlando
ECPI University - Culinary Institute of Virginia - Newport News
ECPI University - San Antonio
Northwest Technology Center-Fairview
Rob Roy Academy - Woonsocket
Nuvani Institute-Uvalde
Nuvani Institute-Del Rio
Nuvani Institute-South Campus
Everglades University-Orlando
Everglades University-Sarasota
Everglades University - Tampa
Everglades University - Miami
Florida National University-South Campus
Florida National University Training Center
Connecticut Aero Tech  School
Indian Capital Technology Center-Sallisaw
Indian Capital Technology Center-Stilwell
Indian Capital Technology Center-Tahlequah
Central California School of Continuing Education -
Compu-Med Vocational Careers Corp
Osceola Technical College - St. Cloud Campus
Osceola Technical College - Poinciana Campus
Southeastern College-Miami Lakes
Strayer University-Rockville Campus
Strayer University-Anne Arundel Campus
Strayer University-White Marsh Campus
Strayer University-Owings Mills Campus
Santa Barbara Business College - Ventura
Blue Cliff College
Texas Barber College - Branch Campus #1
Texas Barber College - Branch Campus #2
Texas Barber College - Branch Campus #5
Strayer University-Nashville Campus
Strayer University-Shelby Oaks Campus
Strayer University-Knoxville Campus
Strayer University-Delaware County Campus
Strayer University-Center City Campus
Strayer University-Allentown Campus
Advanced College-Stockton
Advanced College - Salida
Leston College -
Aviator College of Aeronautical Science & Technology -  Kissimmee
Rasmussen College-Aurora
Rasmussen College-Romeoville/Joliet
Rasmussen College-Mokena/Tinley Park
Strayer University-Orlando East Campus
Strayer University-Sand Lake Campus
Strayer University-Baymeadows Campus
Strayer University-Miramar Campus
Make-up Designory
Academy Di Capelli -
Dayton School of Medical Massage-Lima
Cincinnati School of Medical Massage
Cleveland Institute of Medical Massage
Columbus School of Medical Massage
CCI Training Center
Strayer University-Huntsville Campus
Strayer University - Montgomery Campus
Rasmussen College-Wausau
Academy of Hair Design - Austin
Bryant & Stratton College-Bayshore
Bryant & Stratton College-Racine
Strayer University-North Charlotte
Strayer University-South Charlotte
Strayer University-North Raleigh Campus
Strayer University-Greensboro Campus
Strayer University-South Raleigh Campus
Strayer University-Piscataway
Cambridge College of Healthcare & Technology
Celebrity School of Beauty - Hialeah
Utah County Campus
L'esprit Academy - Royal Oak
Strayer University-Cobb Campus
Strayer University-Morrow Campus
Strayer University-Lithonia Campus
Strayer University-Savannah Campus
Strayer University-Augusta Campus
Strayer University - Macon Campus
Strayer University-Columbia Campus
Strayer University-Charleston Campus
Strayer University-Northwest Houston
Strayer University-Cedar Hill
Strayer University-North Dallas
Strayer University-San Antonio
Strayer University-Stafford
Strayer University - Northwest Houston Campus
Unitek College
Keweenaw Bay Ojibwa Community College - Wabanung Campus
Cinta Aveda Institute - San Jose
Southern California Health Institute (SOCHI) - North Hollywood
Relay Graduate School of Education - Newark
Relay Graduate School of Education - New Orleans
Relay Graduate School of Education - Delaware
Relay Graduate School of Education - Memphis
Relay Graduate School of Education - Houston
Relay Graduate School of Education - Chicago
Relay Graduate School of Education - Baton Rouge
Relay Graduate School of Education - Philadelphia & Camden
Relay Graduate School of Education - Denver
Relay Graduate School of Education - Nashville
Relay Graduate School of Education - San Antonio
Relay Graduate School of Education - Dallas-Fort Worth
Relay Graduate School of Education - Washington D.C
Relay Graduate School of Education - Atlanta
Relay Graduate School of Education - California
Relay Graduate School of Education - Indiana
Salon Institute - Columbus Campus
Rasmussen College - Overland Park
Rocky Vista University - Southern Utah
Designer Barber & Stylist School -
Sharp Edgez Barber Institute - Buffalo
Arizona State University at Tucson
Arizona State University - ASU Colleges at Lake Havasu City
Arizona State University at The Gila Valley
Arizona State University at Yuma
Arizona State University - Pinal
Arizona State University - Cochise
Arizona State University - Yavapai College Prescott Valley Campus
Arizona State University - Pima
East-West Healing Arts Institute - Milwaukee
Alliance Computing Solutions - NYC
Bay Area Medical Academy - San Jose Satellite Location
High Desert Medical College - Bakerfield
High Desert Medical College - Temecula
Georgia Military College - Zebulon
Georgia Military College - Valdosta
Georgia Military College - Augusta
Georgia Military College - Fairburn
Georgia Military College - Robins
Georgia Military College - Columbus
Georgia Military College - Sandersville
Georgia Military College - Madison
Georgia Military College - Stone Mountain
Georgia Military College - Fayetteville
Georgia Military College - Dublin
Georgia Military College - Eastman
