School,enrolled,over_25,over_23,independent,dependent,unemployment,median_family_income,poverty_rate,admissions_rate,sat_mid_reading,sat_mid_math,sat_mid_writing,sat_mid_overall,region
Southern California University of Health Sciences,,0.7105,,,,,,,,,,,,8
El Camino Community College District,,0.2761,,,,,,,,,,,,8
Emperor's College of Traditional Oriental Medicine,,,,,,,,,,,,,,8
Mountain Empire Community College,,0.278,,,,,,,,,,,,5
Evergreen Valley College,,0.3007,,,,,,,,,,,,8
Feather River Community College District,,0.5107,,,,,,,,,,,,8
Federico Beauty Institute,,0.3558,,,,,,,,,,,,8
Fielding Graduate University,,,,,,,,,,,,,,8
Five Branches University,,,,,,,,,,,,,,8
Redondo Beach Beauty College,,0.7632,,,,,,,,,,,,8
Foothill College,,0.4318,,,,,,,,,,,,8
Franciscan School of Theology,,,,,,,,,,,,,,8
Fredrick and Charles Beauty College,,0.4182,,,,,,,,,,,,8
Fresno City College,,0.3708,,,,,,,,,,,,8
Fresno Pacific University,,0.5579,,,,,,,0.6608,525.0,515.0,,1042.0,8
Fuller Theological Seminary,,,,,,,,,,,,,,8
Hope International University,,0.2038,,,,,,,0.3679,490.0,500.0,,1001.0,8
Gavilan College,,0.3696,,,,,,,,,,,,8
Gemological Institute of America-Carlsbad,,0.497,,,,,,,,,,,,8
Glendale Community College,,0.3953,,,,,,,,,,,,8
Glendale Career College,,0.7185,,,,,,,,,,,,8
Golden Gate University-San Francisco,,0.9217,,,,,,,,,,,,8
Golden West College,,0.3042,,,,,,,,,,,,8
Graduate Theological Union,,,,,,,,,,,,,,8
Grossmont College,,0.3216,,,,,,,,,,,,8
Salon Success Academy-Riverside,,0.4783,,,,,,,,,,,,8
Hartnell College,,0.4916,,,,,,,,,,,,8
Harvey Mudd College,,0.0011,,,,,,,0.1367,740.0,790.0,,1526.0,8
Hilltop Beauty School,,0.7297,,,,,,,,,,,,8
Holy Names University,,0.148,,,,,,,0.6325,305.0,495.0,,851.0,8
Pacifica Graduate Institute,,,,,,,,,,,,,,8
Humboldt State University,,0.2053,,,,,,,0.9217,550.0,535.0,,1085.0,8
Humphreys University-Stockton and Modesto Campuses,,0.6149,,,,,,,,,,,,8
Imperial Valley College,,0.3103,,,,,,,,,,,,8
Institute for Business and Technology,,0.4889,,,,,,,,,,,,8
Interior Designers Institute,,0.6906,,,,,,,,,,,,8
Christine Valmy International School of Esthetics & Cosmetology,,0.5868,,,,,,,,,,,,2
Irvine Valley College,,0.2594,,,,,,,,,,,,8
Bellus Academy-El Cajon,,0.47,,,,,,,,,,,,8
American Jewish University,,0.4242,,,,,,,,,,,,8
Reedley College,,0.2527,,,,,,,,,,,,8
Life Pacific University,,0.1656,,,,,,,0.9137,516.0,485.0,,991.0,8
University of La Verne,,0.422,,,,,,,0.5482,560.0,555.0,,1113.0,8
Laguna College of Art and Design,,0.1977,,,,,,,0.8097,,,,,8
Lake Tahoe Community College,,0.5844,,,,,,,,,,,,8
Lancaster Beauty School,,0.3507,,,,,,,,,,,,8
Laney College,,0.4861,,,,,,,,,,,,8
Lassen Community College,,0.696,,,,,,,,,,,,8
Life Chiropractic College West,,,,,,,,,,,,,,8
Lincoln University,,0.1433,,,,,,,,,,,,4
Southern California Seminary,,0.8605,,,,,,,,,,,,8
University of Arizona-Sierra Vista,,0.6466,,,,,,,,,,,,6
Loma Linda University,,0.5419,,,,,,,,,,,,8
Long Beach City College,,0.3447,,,,,,,,,,,,8
Southern California University of Health Sciences,,0.7105,,,,,,,,,,,,8
Los Angeles Harbor College,,0.3346,,,,,,,,,,,,8
Los Angeles Pierce College,,0.3318,,,,,,,,,,,,8
Los Angeles Southwest College,,0.4257,,,,,,,,,,,,8
Los Angeles Trade Technical College,,0.4465,,,,,,,,,,,,8
Los Angeles Valley College,,0.4078,,,,,,,,,,,,8
The Master's University and Seminary,,0.2391,,,,,,,0.6712,,,,,8
Los Angeles City College,,0.4649,,,,,,,,,,,,8
Los Angeles County College of Nursing and Allied Health,,0.8442,,,,,,,,,,,,8
Los Angeles Mission College,,0.3299,,,,,,,,,,,,8
Los Medanos College,,0.2782,,,,,,,,,,,,8
Loyola Marymount University,,0.0266,,,,,,,0.4384,660.0,660.0,,1331.0,8
Lu Ross Academy,,0.3442,,,,,,,,,,,,8
Lyle's College of  Beauty,,0.4819,,,,,,,,,,,,8
Lyle's College of  Beauty,,0.4819,,,,,,,,,,,,8
Lytles Redwood Empire Beauty College Inc,,0.287,,,,,,,,,,,,8
MTI College,,0.5026,,,,,,,0.8103,,,,,8
College of Marin,,0.4763,,,,,,,,,,,,8
Marymount California University,,0.0581,,,,,,,,,,,,8
Mendocino College,,0.4331,,,,,,,,,,,,8
Menlo College,,0.1029,,,,,,,0.6272,,,,,8
Merced College,,0.3015,,,,,,,,,,,,8
Merritt College,,0.4607,,,,,,,,,,,,8
Millsaps College,,0.018,,,,,,,0.6881,595.0,590.0,,1173.0,5
MiraCosta College,,0.3696,,,,,,,,,,,,8
Los Angeles Mission College,,0.3299,,,,,,,,,,,,8
Modern Beauty Academy,,0.64,,,,,,,,,,,,8
Modesto Junior College,,0.3187,,,,,,,,,,,,8
Moler Barber College,,0.5627,,,,,,,,,,,,8
Middlebury Institute of International Studies at Monterey,,0.875,,,,,,,,,,,,8
Monterey Peninsula College,,0.4116,,,,,,,,,,,,8
Moorpark College,,0.2378,,,,,,,,,,,,8
Chamberlain University-Texas,,0.6048,,,,,,,0.8333,,,,,6
Mount St. Mary's University,,0.0843,,,,,,,0.7479,555.0,540.0,,1097.0,2
Mt San Jacinto Community College District,,0.3306,,,,,,,,,,,,8
Musicians Institute,,0.3552,,,,,,,0.6871,,,,,8
Napa Valley College,,0.3125,,,,,,,,,,,,8
National Holistic Institute,,0.7987,,,,,,,,,,,,8
National University of Health Sciences,,0.7045,,,,,,,,,,,,3
Naval Postgraduate School,,,,,,,,,,,,,,0
Newschool of Architecture and Design,,0.2766,,,,,,,0.9836,,,,,8
North Adrian's College of Beauty Inc,,0.3517,,,,,,,,,,,,8
North-West College-Pomona,,0.3797,,,,,,,,,,,,8
North-West College-West Covina,,0.5071,,,,,,,,,,,,8
North-West College-Van Nuys,,0.5303,,,,,,,,,,,,8
Notre Dame de Namur University,,0.2818,,,,,,,0.9994,500.0,485.0,,989.0,8
Occidental College,,0.0045,,,,,,,0.3669,690.0,700.0,,1386.0,8
Ohlone College,,0.284,,,,,,,,,,,,8
Orange Coast College,,0.3088,,,,,,,,,,,,8
Otis College of Art and Design,,0.1182,,,,,,,0.7817,,,,1250.0,8
Oxnard College,,0.3072,,,,,,,,,,,,8
Hope International University,,0.2038,,,,,,,0.3679,490.0,500.0,,1001.0,8
Concorde Career College-San Diego,,0.5753,,,,,,,0.9096,,,,,8
