School,enrolled,over_25,over_23,independent,dependent,unemployment,median_family_income,poverty_rate,admissions_rate,sat_mid_reading,sat_mid_math,sat_mid_writing,sat_mid_overall,region
DePauw University,,0.0025,,,,,,,0.6436,610.0,635.0,,1253.0,3
Don Roberts School of Hair Design,,0.3333,,,,,,,,,,,,3
Earlham College,,0.0011,,,,,,,0.6343,615.0,620.0,,1246.0,3
University of Evansville,,0.056,,,,,,,0.7067,595.0,594.0,,1223.0,3
Franklin and Marshall College,,0.0009,,,,,,,0.3039,,,,,2
Goshen College,,0.1235,,,,,,,0.6299,552.0,557.0,,1132.0,3
Grace College and Theological Seminary,,0.0729,,,,,,,0.799,,,,,3
Empire Beauty School-Hanover Park,,0.425,,,,,,,,,,,,3
J Michael Harrold Beauty Academy,,0.32,,,,,,,,,,,,3
College of the Holy Cross,,0.0003,,,,,,,0.3422,665.0,680.0,,1356.0,1
PJ's College of Cosmetology-Clarksville,,0.3408,,,,,,,,,,,,3
Huntington University,,0.0888,,,,,,,0.7546,530.0,528.0,,1075.0,3
Ivy Tech Community College,,0.3835,,,,,,,,,,,,3
Purdue University Fort Wayne,,0.1303,,,,,,,0.8143,545.0,535.0,,1085.0,3
Purdue University - Purdue Polytechnic Indianapolis,,,,,,,,,,,,,,3
Indiana University-Purdue University-Indianapolis,,0.1658,,,,,,,0.8073,550.0,550.0,,1106.0,3
Indiana Institute of Technology,,0.0635,,,,,,,0.5964,515.0,525.0,,1054.0,3
University of Southern Indiana,,0.1004,,,,,,,0.9332,540.0,535.0,,1090.0,3
Indiana State University,,0.1789,,,,,,,0.8957,,,,,3
Indiana University-Kokomo,,0.1842,,,,,,,0.7364,525.0,525.0,,1053.0,3
Indiana University-South Bend,,0.205,,,,,,,0.777,520.0,520.0,,1042.0,3
Indiana University-Bloomington,,0.019,,,,,,,0.7791,625.0,630.0,,1274.0,3
Indiana University-Northwest,,0.2348,,,,,,,0.7462,510.0,495.0,,1013.0,3
Indiana University-Southeast,,0.2311,,,,,,,0.8191,525.0,510.0,,1043.0,3
Indiana University-East,,0.398,,,,,,,0.6252,525.0,510.0,,1041.0,3
International Business College-Fort Wayne,,0.0161,,,,,,,0.7372,,,,,3
International Business College-Indianapolis,,0.0748,,,,,,,0.7933,,,,,3
Tricoci University of Beauty Culture-Lafayette,,0.3462,,,,,,,,,,,,3
Empire Beauty School-Indianapolis,,0.4298,,,,,,,,,,,,3
Lincoln College of Technology-Indianapolis,,0.3404,,,,,,,,,,,,3
University of New Hampshire at Manchester,,0.2365,,,,,,,0.9079,560.0,545.0,,1105.0,1
Marian University,,0.1756,,,,,,,0.6461,485.0,495.0,,1025.0,3
Indiana Wesleyan University-Marion,,0.0282,,,,,,,0.67,570.0,555.0,,1135.0,3
The University of Tennessee-Martin,,0.1313,,,,,,,0.6449,,,,1170.0,5
Anabaptist Mennonite Biblical Seminary,,,,,,,,,,,,,,3
Mid-America College of Funeral Service,,0.5862,,,,,,,,,,,,3
West Michigan College of Barbering and Beauty,,0.0893,,,,,,,,,,,,3
University of Notre Dame,,0.001,,,,,,,0.1583,720.0,755.0,,1490.0,3
Oakland City University,,0.1794,,,,,,,0.5475,515.0,510.0,,1023.0,3
PJ's College of Cosmetology-Richmond,,0.4189,,,,,,,,,,,,3
Ravenscroft Beauty College,,0.5414,,,,,,,,,,,,3
Rogers Academy of Hair Design,,0.4421,,,,,,,,,,,,3
Rose-Hulman Institute of Technology,,0.004,,,,,,,0.7421,650.0,704.0,,1367.0,3
University of Saint Francis-Fort Wayne,,0.1954,,,,,,,0.9622,534.0,525.0,,1072.0,3
Saint Mary-of-the-Woods College,,0.3533,,,,,,,0.6723,520.0,505.0,,1031.0,3
Saint Mary-of-the-Woods College,,0.3533,,,,,,,0.6723,520.0,505.0,,1031.0,3
Saint Meinrad School of Theology,,,,,,,,,,,,,,3
Saint Elizabeth School of Nursing,,0.4545,,,,,,,0.6923,455.0,455.0,,910.0,3
Taylor University,,0.02,,,,,,,0.6813,595.0,600.0,,1205.0,3
Trine University,,0.0108,,,,,,,0.8157,565.0,585.0,,1170.0,3
Valparaiso University,,0.0428,,,,,,,0.8585,590.0,590.0,,1202.0,3
Vincennes Beauty College,,0.2222,,,,,,,,,,,,3
Vincennes University,,0.0973,,,,,,,,,,,,3
Wabash Valley College,,0.6829,,,,,,,,,,,,3
Allen County Community College,,0.1554,,,,,,,,,,,,4
Briar Cliff University,,0.2076,,,,,,,,,,,,4
Buena Vista University,,0.364,,,,,,,0.5735,510.0,510.0,,1108.0,4
Capri College-Dubuque,,0.3066,,,,,,,,,,,,4
Capri College-Cedar Rapids,,0.303,,,,,,,,,,,,4
College of Central Florida,,0.2961,,,,,,,,,,,,5
Clarke University,,0.0628,,,,,,,0.9385,515.0,515.0,,1054.0,4
Coe College,,0.0154,,,,,,,0.6333,,,,,4
Weill Medical College of Cornell University,,,,,,,,,,,,,,2
Des Moines Area Community College,,0.1881,,,,,,,,,,,,4
Divine Word College,,0.8182,,,,,,,0.625,,,,,4
Dordt University,,0.0152,,,,,,,0.7546,590.0,595.0,,1202.0,4
Drake University,,0.0332,,,,,,,0.6764,620.0,615.0,,1285.0,4
University of Dubuque,,0.2005,,,,,,,0.7269,480.0,480.0,,1004.0,4
Ellsworth Community College,,0.1026,,,,,,,,,,,,4
Emmaus Bible College,,0.0837,,,,,,,0.9381,570.0,535.0,,1126.0,4
Eastern Iowa Community College District,,0.2209,,,,,,,,,,,,4
Faith Baptist Bible College and Theological Seminary,,0.0345,,,,,,,0.625,,,,,4
Faust Institute of Cosmetology-Storm Lake,,0.2857,,,,,,,,,,,,4
Graceland University-Lamoni,,0.1453,,,,,,,0.5811,520.0,500.0,,1067.0,4
Grand View University,,0.1656,,,,,,,0.9587,500.0,520.0,,1033.0,4
Grinnell College,,0.0023,,,,,,,0.2308,705.0,745.0,,1457.0,4
Hamilton Technical College,,0.4925,,,,,,,,,,,,4
Hawkeye Community College,,0.1586,,,,,,,,,,,,4
American Hair Academy,,0.2593,,,,,,,,,,,,4
Indian Hills Community College,,0.1514,,,,,,,,,,,,4
Iowa Central Community College,,0.1635,,,,,,,,,,,,4
Iowa Lakes Community College,,0.1376,,,,,,,,,,,,4
UnityPoint Health-Des Moines School of Radiologic Technology,,0.4706,,,,,,,,,,,,4
American College of Hairstyling-Des Moines,,0.4091,,,,,,,,,,,,4
Iowa School of Beauty-Des Moines,,0.1765,,,,,,,,,,,,4
Iowa State University,,0.0433,,,,,,,0.9205,595.0,625.0,,1220.0,4
Iowa Wesleyan University,,0.1147,,,,,,,0.5831,500.0,490.0,,1042.0,4
Iowa Western Community College,,0.186,,,,,,,,,,,,4
University of Iowa,,0.0658,,,,,,,0.8255,610.0,625.0,,1235.0,4
Kirkwood Community College,,0.1778,,,,,,,,,,,,4
La James International College-Cedar Falls,,0.5,,,,,,,,,,,,4
La James International College-Johnston,,0.3818,,,,,,,,,,,,4
La James College of Hairstyling and Cosmetology,,0.3148,,,,,,,,,,,,4
La James International College-Ft Dodge,,0.4375,,,,,,,,,,,,4
Loras College,,0.042,,,,,,,0.7532,528.0,528.0,,1112.0,4
Bethany Lutheran College,,0.0283,,,,,,,0.7264,515.0,535.0,,1138.0,4
Maharishi International University,,0.6061,,,,,,,0.8113,,,,,4
Marshalltown Community College,,0.114,,,,,,,,,,,,4
Mercy College of Health Sciences,,0.4717,,,,,,,0.9781,,,,,4
Morningside College,,0.0736,,,,,,,0.6309,,,,1120.0,4
Mount Mercy University,,0.2878,,,,,,,0.6599,,,,1085.0,4
Ashford University,,0.8667,,,,,,,,,,,,8
North Iowa Area Community College,,0.1493,,,,,,,,,,,,4
University of Northern Iowa,,0.0772,,,,,,,0.7905,556.0,555.0,,1149.0,4
Northwestern College,,0.5841,,,,,,,1.0,,,,,3
Northeast Iowa Community College,,0.1547,,,,,,,,,,,,4
Northwest Iowa Community College,,0.1694,,,,,,,,,,,,4
Des Moines University-Osteopathic Medical Center,,,,,,,,,,,,,,4
Iowa School of Beauty-Ottumwa,,0.25,,,,,,,,,,,,4
Palmer College of Chiropractic,,0.2069,,,,,,,,,,,,4
PCI Academy-Ames,,0.1926,,,,,,,,,,,,4
Saint Ambrose University,,0.1018,,,,,,,0.7679,540.0,630.0,,1149.0,4
Saint Luke's College of Health Sciences,,0.4842,,,,,,,,,,,,4
La James International College-Davenport,,0.5606,,,,,,,,,,,,4
Simpson University,,0.2835,,,,,,,0.5231,520.0,515.0,,1041.0,8
