School,enrolled,over_25,over_23,independent,dependent,unemployment,median_family_income,poverty_rate,admissions_rate,sat_mid_reading,sat_mid_math,sat_mid_writing,sat_mid_overall,region
West Chester University of Pennsylvania,,0.0879,,,,,,,0.7532,565.0,555.0,,1123.0,2
Western Pennsylvania Hospital School of Nursing,,0.4126,,,,,,,0.7222,,,,,2
Pittsburgh Institute of Aeronautics,,0.2588,,,,,,,,,,,,2
Westminster College,,0.127,,,,,,,0.9184,580.0,565.0,,1171.0,7
Westminster Theological Seminary in California,,,,,,,,,,,,,,8
Westmoreland County Community College,,0.2781,,,,,,,,,,,,2
Widener University,,0.1055,,,,,,,0.719,560.0,565.0,,1127.0,2
Wilkes University,,0.0676,,,,,,,0.7862,559.0,560.0,,1123.0,2
Williamson College of the Trades,,,,,,,,,0.3238,,,,,2
Warren Wilson College,,0.0595,,,,,,,0.846,618.0,560.0,,1198.0,5
Yeshivath Beth Moshe,,,,,,,,,0.8571,,,,,2
York College of Pennsylvania,,0.0634,,,,,,,0.6896,550.0,555.0,,1107.0,2
YTI Career Institute-York,,0.3379,,,,,,,,,,,,2
John Brown University,,0.108,,,,,,,0.7577,590.0,570.0,,1237.0,5
Bryant University,,0.011,,,,,,,0.7099,,,,,1
New England Institute of Technology,,0.2893,,,,,,,0.632,530.0,530.0,,1059.0,1
New England Tractor Trailer Training School of Rhode Island,,0.6527,,,,,,,,,,,,1
Providence College,,0.0393,,,,,,,0.4746,640.0,640.0,,1298.0,1
Rhode Island College,,0.2215,,,,,,,0.7839,500.0,480.0,,980.0,1
Community College of Rhode Island,,0.3352,,,,,,,,,,,,1
University of Rhode Island,,0.071,,,,,,,0.7477,575.0,570.0,,1156.0,1
Rhode Island School of Design,,0.0164,,,,,,,0.2576,655.0,695.0,,1349.0,1
Roger Williams University,,0.0789,,,,,,,0.8535,,,,,1
Salve Regina University,,0.0314,,,,,,,0.7378,,,,,1
Empire Beauty School-Warwick,,0.4928,,,,,,,,,,,,1
Northpoint Bible College,,0.3169,,,,,,,,,,,,1
Aiken Technical College,,0.3439,,,,,,,,,,,,5
Allen University,,0.0809,,,,,,,0.5327,,,,,5
The University of Texas MD Anderson Cancer Center,,0.5071,,,,,,,,,,,,6
Charleston Southern University,,0.163,,,,,,,0.4965,570.0,540.0,,1165.0,5
Technical College of the Lowcountry,,0.367,,,,,,,,,,,,5
College of Saint Benedict,,0.0023,,,,,,,0.8046,573.0,575.0,,1213.0,4
Bob Jones University,,0.0407,,,,,,,,,,,,5
Southern Wesleyan University,,0.2661,,,,,,,0.3503,514.0,537.0,,1050.0,5
Charleston Cosmetology Institute,,0.5909,,,,,,,,,,,,5
College of Charleston,,0.0797,,,,,,,0.7833,595.0,575.0,,1191.0,5
Charzanne Beauty College,,0.52,,,,,,,,,,,,5
Northeastern Technical College,,0.3707,,,,,,,,,,,,5
Citadel Military College of South Carolina,,0.1067,,,,,,,0.7473,575.0,565.0,,1138.0,5
Claflin University,,0.0896,,,,,,,0.552,480.0,460.0,,942.0,5
Clemson University,,0.0342,,,,,,,0.5126,655.0,660.0,,1334.0,5
Clinton Community College,,0.2168,,,,,,,,,,,,2
Coker University,,0.1801,,,,,,,0.6329,550.0,515.0,,1101.0,5
Columbia International University,,0.2196,,,,,,,0.4792,530.0,505.0,,1056.0,5
Fortis College-Columbia,,0.5453,,,,,,,,,,,,5
Converse College,,0.0916,,,,,,,0.8934,555.0,560.0,,1099.0,5
Denmark Technical College,,0.1781,,,,,,,,,,,,5
Erskine College,,0.0064,,,,,,,0.6965,520.0,505.0,,1027.0,5
Florence-Darlington Technical College,,0.3319,,,,,,,,,,,,5
Francis Marion University,,0.0853,,,,,,,0.6804,515.0,490.0,,1002.0,5
Furman University,,0.0257,,,,,,,0.5681,670.0,660.0,,1356.0,5
Greenville Technical College,,0.3068,,,,,,,,,,,,5
Horry-Georgetown Technical College,,0.3062,,,,,,,,,,,,5
Kenneth Shuler School of Cosmetology-North Augusta,,0.3588,,,,,,,,,,,,5
Kenneth Shuler School of Cosmetology and Nails-Columbia,,0.4507,,,,,,,,,,,,5
Lander University,,0.0315,,,,,,,0.4316,530.0,505.0,,1040.0,5
Limestone University,,0.4447,,,,,,,0.5091,535.0,530.0,,1073.0,5
Medical University of South Carolina,,0.4892,,,,,,,,,,,,5
Midlands Technical College,,0.3278,,,,,,,,,,,,5
Robert Morris University Illinois,,0.1658,,,,,,,0.6341,,,,,3
Newberry College,,0.0519,,,,,,,0.6275,500.0,485.0,,992.0,5
North Greenville University,,0.0674,,,,,,,0.6282,515.0,540.0,,1122.0,5
Orangeburg Calhoun Technical College,,0.2824,,,,,,,,,,,,5
Piedmont Technical College,,0.3676,,,,,,,,,,,,5
Presbyterian College,,0.0045,,,,,,,0.7548,560.0,555.0,,1124.0,5
University of South Carolina Aiken,,0.1848,,,,,,,0.5575,540.0,510.0,,1050.0,5
University of South Carolina Beaufort,,0.1392,,,,,,,0.6276,520.0,495.0,,1023.0,5
University of South Carolina-Columbia,,0.0431,,,,,,,0.6865,640.0,635.0,,1289.0,5
University of South Carolina-Lancaster,,0.086,,,,,,,0.821,510.0,495.0,,988.0,5
University of South Carolina-Salkehatchie,,0.166,,,,,,,0.7323,475.0,445.0,,901.0,5
University of South Carolina-Sumter,,0.119,,,,,,,0.8203,520.0,495.0,,987.0,5
University of South Carolina-Union,,0.0208,,,,,,,0.917,440.0,428.0,,877.0,5
Coastal Carolina University,,0.0567,,,,,,,0.6887,550.0,540.0,,1097.0,5
South Carolina State University,,0.0817,,,,,,,0.6644,460.0,455.0,,912.0,5
University of South Carolina-Upstate,,0.1818,,,,,,,0.5813,520.0,495.0,,1023.0,5
Sherman College of Chiropractic,,,,,,,,,,,,,,5
