School,enrolled,over_25,over_23,independent,dependent,unemployment,median_family_income,poverty_rate,admissions_rate,sat_mid_reading,sat_mid_math,sat_mid_writing,sat_mid_overall,region
Suffolk University,,0.0512,,,,,,,0.8363,560.0,555.0,,1123.0,1
Rob Roy Academy-Taunton,,0.5938,,,,,,,,,,,,1
Tufts University,,0.0134,,,,,,,0.1495,715.0,750.0,,1472.0,1
Wellesley College,,0.0163,,,,,,,0.2156,715.0,730.0,,1452.0,1
Wentworth Institute of Technology,,0.0946,,,,,,,0.6855,570.0,595.0,,1171.0,1
Western New England University,,0.0385,,,,,,,0.8518,,,,,1
Westfield State University,,0.1268,,,,,,,0.8716,535.0,530.0,,1066.0,1
Wheaton College,,0.0109,,,,,,,0.8481,670.0,660.0,,1337.0,3
Williams College,,0.0124,,,,,,,0.126,730.0,750.0,,1488.0,1
Worcester Polytechnic Institute,,0.0095,,,,,,,0.4937,,,,,1
Worcester State University,,0.192,,,,,,,0.6589,,,,,1
North Adrian's College of Beauty Inc,,0.3517,,,,,,,,,,,,8
Albion College,,0.0122,,,,,,,0.6876,555.0,540.0,,1118.0,3
Hillsdale Beauty College,,0.5909,,,,,,,,,,,,3
Northwestern Technological Institute,,0.531,,,,,,,,,,,,3
Alma College,,0.0146,,,,,,,0.6238,570.0,560.0,,1131.0,3
Alpena Community College,,0.191,,,,,,,,,,,,3
Andrews University,,0.0939,,,,,,,0.6704,615.0,595.0,,1215.0,3
Thomas Aquinas College,,0.0182,,,,,,,0.7892,650.0,620.0,,1284.0,8
Baker College of Auburn Hills,,,,,,,,,,,,,,3
Bay de Noc Community College,,0.2159,,,,,,,,,,,,3
Bayshire Academy of Beauty Craft Inc,,0.4872,,,,,,,,,,,,3
Calvin University,,0.0482,,,,,,,0.769,620.0,630.0,,1264.0,3
Calvin Theological Seminary,,,,,,,,,,,,,,3
Carnegie Institute,,0.7674,,,,,,,,,,,,3
Michigan School of Psychology,,,,,,,,,,,,,,3
Central Michigan University,,0.122,,,,,,,0.6951,555.0,540.0,,1106.0,3
Mott Community College,,0.2809,,,,,,,,,,,,3
Empire Beauty School-Michigan,,0.3435,,,,,,,,,,,,3
Cleary University,,0.3355,,,,,,,0.7143,530.0,530.0,,1059.0,3
Concordia University-Ann Arbor,,0.1051,,,,,,,0.4906,,,,1065.0,3
Cranbrook Academy of Art,,,,,,,,,,,,,,3
College for Creative Studies,,0.1142,,,,,,,0.4378,,,,,3
Davenport University,,0.3883,,,,,,,0.8193,,,,,3
David Pressley School of Cosmetology,,0.4303,,,,,,,,,,,,3
San Joaquin Delta College,,0.2719,,,,,,,,,,,,8
Detroit Business Institute-Downriver,,0.9412,,,,,,,,,,,,3
MIAT College of Technology,,0.415,,,,,,,0.8333,,,,,3
University of Detroit Mercy,,0.1188,,,,,,,0.7749,575.0,580.0,,1168.0,3
Dorsey School of Business-Madison Heights,,0.7333,,,,,,,,,,,,3
Eastern Michigan University,,0.2384,,,,,,,0.7406,545.0,535.0,,1088.0,3
Creative Hair School of Cosmetology,,0.5758,,,,,,,,,,,,3
Ferris State University,,0.1924,,,,,,,0.8664,530.0,520.0,,1058.0,3
Glen Oaks Community College,,0.1302,,,,,,,,,,,,3
Kettering University,,0.0339,,,,,,,0.7299,620.0,655.0,,1278.0,3
Gogebic Community College,,0.1905,,,,,,,,,,,,3
Grace Christian University,,0.5,,,,,,,1.0,,,,,3
Cornerstone University,,0.2374,,,,,,,0.7757,540.0,530.0,,1085.0,3
Grand Rapids Community College,,0.2726,,,,,,,,,,,,3
Grand Valley State University,,0.0683,,,,,,,0.8302,580.0,570.0,,1161.0,3
Great Lakes Christian College,,0.1637,,,,,,,,,,,,3
Henry Ford College,,0.2826,,,,,,,,,,,,3
Hillsdale Beauty College,,0.5909,,,,,,,,,,,,3
Hope International University,,0.2038,,,,,,,0.3679,490.0,500.0,,1001.0,8
Jacksonville College-Main Campus,,0.0987,,,,,,,,,,,,6
Kalamazoo College,,0.0039,,,,,,,0.7595,640.0,630.0,,1284.0,3
Kalamazoo Valley Community College,,0.2672,,,,,,,,,,,,3
Kellogg Community College,,0.3213,,,,,,,,,,,,3
Kirtland Community College,,0.387,,,,,,,,,,,,3
Michigan College of Beauty-Monroe,,0.2143,,,,,,,,,,,,3
Lake Michigan College,,0.2657,,,,,,,,,,,,3
Lake Superior State University,,0.1164,,,,,,,0.5723,540.0,530.0,,1080.0,3
Lansing Community College,,0.2741,,,,,,,,,,,,3
Lawrence Technological University,,0.117,,,,,,,0.7927,565.0,580.0,,1157.0,3
M J Murphy Beauty College of Mount Pleasant,,0.3056,,,,,,,,,,,,3
Macomb Community College,,0.2836,,,,,,,,,,,,3
Madonna University,,0.2859,,,,,,,0.746,520.0,510.0,,1042.0,3
Rochester University,,0.2644,,,,,,,1.0,490.0,480.0,,980.0,3
University of Michigan-Ann Arbor,,0.017,,,,,,,0.2291,700.0,735.0,,1448.0,3
The Michigan Barber School,,0.6433,,,,,,,,,,,,3
Michigan State University,,0.0247,,,,,,,0.7112,600.0,610.0,,1223.0,3
Michigan Technological University,,0.0414,,,,,,,0.7431,630.0,640.0,,1280.0,3
University of Michigan-Dearborn,,0.1852,,,,,,,0.6196,590.0,595.0,,1196.0,3
University of Michigan-Flint,,0.2965,,,,,,,0.6596,560.0,535.0,,1104.0,3
Mid Michigan College,,0.1621,,,,,,,,,,,,3
Monroe County Community College,,0.2309,,,,,,,,,,,,3
Montcalm Community College,,0.2995,,,,,,,,,,,,3
Muskegon Community College,,0.2343,,,,,,,,,,,,3
North Central Michigan College,,0.3057,,,,,,,,,,,,3
Northern Michigan University,,0.1328,,,,,,,0.6559,545.0,535.0,,1096.0,3
Northwestern Michigan College,,0.2604,,,,,,,,,,,,3
Northwood University,,0.4281,,,,,,,0.7907,520.0,555.0,,1081.0,3
Oakland Community College,,0.3151,,,,,,,,,,,,3
Oakland University,,0.1623,,,,,,,0.8305,565.0,560.0,,1135.0,3
Olivet College,,0.0523,,,,,,,,,,,,3
Port Huron Cosmetology College,,0.5714,,,,,,,,,,,,3
Kuyper College,,0.1387,,,,,,,0.62,495.0,470.0,,989.0,3
Ross Medical Education Center-Lansing,,0.3553,,,,,,,,,,,,3
Ross Medical Education Center-Madison Heights,,0.4308,,,,,,,,,,,,3
Ross Medical Education Center-Flint,,0.5166,,,,,,,,,,,,3
Sacred Heart Major Seminary,,0.7204,,,,,,,1.0,,,,,3
Saginaw Valley State University,,0.1355,,,,,,,0.7312,545.0,540.0,,1089.0,3
Schoolcraft College,,0.2967,,,,,,,,,,,,3
Siena Heights University,,0.3695,,,,,,,0.734,,,,,3
St Clair County Community College,,0.2193,,,,,,,,,,,,3
Southwestern Michigan College,,0.1635,,,,,,,,,,,,3
Spring Arbor University,,0.3228,,,,,,,0.6566,548.0,550.0,,1118.0,3
Michigan Career and Technical Institute,,0.0859,,,,,,,,,,,,3
Finlandia University,,0.0676,,,,,,,0.7188,505.0,500.0,,1012.0,3
Western Michigan University-Thomas M. Cooley Law School,,,,,,,,,,,,,,3
Twin City Beauty College,,0.252,,,,,,,,,,,,3
Walsh College,,0.6199,,,,,,,,,,,,3
Washtenaw Community College,,0.3739,,,,,,,,,,,,3
Wayne County Community College District,,0.4021,,,,,,,,,,,,3
Wayne State University,,0.1881,,,,,,,0.7314,565.0,555.0,,1134.0,3
West Shore Community College,,0.2676,,,,,,,,,,,,3
Paul Mitchell the School-Grand Rapids,,0.2029,,,,,,,,,,,,3
Western Michigan University-Thomas M. Cooley Law School,,,,,,,,,,,,,,3
Bexley Hall Seabury Western Theological Seminary Federation Inc.,,,,,,,,,,,,,,3
Rogers State University,,0.2623,,,,,,,,,,,,6
Anoka Technical College,,0.4663,,,,,,,,,,,,4
Anoka-Ramsey Community College,,0.1886,,,,,,,,,,,,4
