School,enrolled,over_25,over_23,independent,dependent,unemployment,median_family_income,poverty_rate,admissions_rate,sat_mid_reading,sat_mid_math,sat_mid_writing,sat_mid_overall,region
New Jersey Institute of Technology,,0.1518,,,,,,,0.7281,625.0,665.0,,1292.0,2
Ocean County College,,0.2506,,,,,,,,,,,,2
Professional Cosmetology Education Center,,0.3864,,,,,,,,,,,,5
Parisian Beauty School,,0.431,,,,,,,,,,,,2
Passaic County Community College,,0.3466,,,,,,,,,,,,2
Pennco Tech-Blackwood,,0.3982,,,,,,,,,,,,2
Princeton Theological Seminary,,,,,,,,,,,,,,2
Princeton University,,0.007,,,,,,,0.0578,740.0,775.0,,1517.0,2
Rabbinical College of America,,0.0231,,,,,,,0.8615,,,,,2
Ramapo College of New Jersey,,0.1111,,,,,,,0.6558,570.0,560.0,,1137.0,2
Robert Fiance Beauty Schools-West New York,,0.5498,,,,,,,,,,,,2
Rider University,,0.0711,,,,,,,0.7147,560.0,555.0,,1118.0,2
Rutgers University-Camden,,0.2554,,,,,,,0.792,540.0,535.0,,1072.0,2
Rutgers University-New Brunswick,,0.0661,,,,,,,0.6122,635.0,685.0,,1322.0,2
Rutgers University-Newark,,0.1973,,,,,,,0.719,545.0,565.0,,1111.0,2
St Francis Medical Center-School of Radiologic Technology,,0.4118,,,,,,,,,,,,2
Saint Francis Medical Center School of Nursing,,0.7191,,,,,,,,,,,,2
Saint Peter's University,,0.104,,,,,,,0.8096,510.0,505.0,,1018.0,2
Salem Community College,,0.3133,,,,,,,,,,,,2
Seton Hall University,,0.0359,,,,,,,0.7363,620.0,620.0,,1246.0,2
Saint Elizabeth School of Nursing,,0.4545,,,,,,,0.6923,455.0,455.0,,910.0,3
Raritan Valley Community College,,0.2683,,,,,,,,,,,,2
Stevens Institute of Technology,,0.0027,,,,,,,0.3996,680.0,740.0,,1429.0,2
Stockton University,,0.1073,,,,,,,0.7632,560.0,555.0,,1119.0,2
Talmudical Academy-New Jersey,,0.0167,,,,,,,0.8,,,,,2
Teterboro School of Aeronautics,,0.3901,,,,,,,,,,,,2
Thomas Edison State University,,0.872,,,,,,,,,,,,2
The College of New Jersey,,0.0211,,,,,,,0.4928,625.0,635.0,,1267.0,2
Union County College,,0.4006,,,,,,,,,,,,2
William Paterson University of New Jersey,,0.1874,,,,,,,0.7517,,,,,2
Olympian Academy of Cosmetology,,0.5221,,,,,,,,,,,,6
Central New Mexico Community College,,0.3777,,,,,,,,,,,,6
Navajo Technical University,,0.3626,,,,,,,,,,,,6
New Mexico State University-Dona Ana,,0.2782,,,,,,,,,,,,6
Clovis Community College,,0.4325,,,,,,,,,,,,6
