School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,first_gen,mhi,ms_degree,hs_degree,post_hs_ed,highest_degree,ownership
George C Wallace State Community College-Selma,0.1644,0.7805,0.0058,0.0155,0.0,0.0,0.0174,0.001,0.0155,0.3588,0.6412,,,,,,2,1
Herzing University-Birmingham,0.3168,0.6,0.0212,0.0035,0.0053,0.0053,0.0319,0.0,0.0159,0.2124,0.7876,,,,,,4,2
Huntingdon College,0.6832,0.1897,0.0497,0.007,0.007,0.0,0.0427,0.0,0.0209,0.4876,0.5124,,,,,,3,2
Heritage Christian University,0.8136,0.0508,0.0678,0.0169,0.0,0.0,0.0339,0.0169,0.0,0.9661,0.0339,,,,,,4,2
J. F. Drake State Community and Technical College,0.2912,0.5516,0.0447,0.0077,0.0077,0.0015,0.0709,0.02,0.0046,0.4499,0.5501,,,,,,2,1
J F Ingram State Technical College,0.4227,0.5567,0.0082,0.0021,0.0103,0.0,0.0,0.0,0.0,0.7485,0.2515,,,,,,1,1
Jacksonville State University,0.6966,0.2047,0.0059,0.0068,0.0034,0.0004,0.0,0.0187,0.0635,0.4053,0.5947,,,,,,4,1
Jefferson State Community College,0.5858,0.2257,0.0643,0.0151,0.0024,0.0002,0.0327,0.0235,0.0502,0.3743,0.6257,,,,,,2,1
John C Calhoun State Community College,0.6219,0.1689,0.0705,0.0228,0.0122,0.0012,0.0615,0.011,0.0302,0.462,0.538,,,,,,2,1
Lawson State Community College,0.1398,0.8031,0.0282,0.0039,0.0026,0.0007,0.0138,0.0039,0.0039,0.381,0.619,,,,,,2,1
University of West Alabama,0.4528,0.4076,0.0157,0.0031,0.0049,0.0004,0.0228,0.0403,0.0523,0.3946,0.6054,,,,,,4,1
Lurleen B Wallace Community College,0.6836,0.2508,0.0216,0.0033,0.005,0.0,0.0316,0.0008,0.0033,0.3522,0.6478,,,,,,2,1
Marion Military Institute,0.633,0.2044,0.0739,0.032,0.0099,0.0074,0.0394,0.0,0.0,0.7291,0.2709,,,,,,2,1
Miles College,0.0372,0.9311,0.0103,0.0007,0.0007,0.0,0.0165,0.0,0.0034,0.5021,0.4979,,,,,,3,2
University of Mobile,0.6753,0.1644,0.0126,0.0193,0.0193,0.0042,0.0252,0.0352,0.0445,0.3532,0.6468,,,,,,4,2
University of Montevallo,0.6845,0.1627,0.0518,0.0086,0.0027,0.0018,0.0409,0.0295,0.0173,0.3473,0.6527,,,,,,4,1
Northwest-Shoals Community College,0.7107,0.123,0.0713,0.0059,0.0071,0.0004,0.0556,0.0106,0.0154,0.3524,0.6476,,,,,,2,1
University of North Alabama,0.7422,0.1324,0.0327,0.0078,0.006,0.0007,0.031,0.0414,0.0058,0.3873,0.6127,,,,,,4,1
Northeast Alabama Community College,0.8035,0.0213,0.121,0.0051,0.0248,0.0015,0.0223,0.0005,0.0,0.3727,0.6273,,,,,,2,1
