School,enrolled,over_25,over_23,independent,dependent,unemployment,median_family_income,poverty_rate,admissions_rate,sat_mid_reading,sat_mid_math,sat_mid_writing,sat_mid_overall,region
Central Coast College,,0.2458,,,,,,,,,,,,8
Pacific College of Oriental Medicine-New York,,0.8491,,,,,,,,,,,,2
Artistic Nails and Beauty Academy-Tampa,,0.5517,,,,,,,,,,,,5
National Aviation Academy of Tampa Bay,,0.4393,,,,,,,,,,,,5
Madison Oneida BOCES-Practical Nursing Program,,0.5873,,,,,,,0.9,,,,,2
Center for Advanced Legal Studies,,0.8765,,,,,,,,,,,,6
Houston Training School-Main Campus,,0.5229,,,,,,,,,,,,6
Bay Mills Community College,,0.5832,,,,,,,,,,,,3
Fond du Lac Tribal and Community College,,0.1752,,,,,,,,,,,,4
Northwest Indian College,,0.6313,,,,,,,,,,,,8
AmeriTech College-Provo,,0.3448,,,,,,,,,,,,7
Paul Mitchell the School-Provo,,0.18,,,,,,,,,,,,7
CET-Coachella,,0.2278,,,,,,,,,,,,8
CET-Oxnard,,0.3271,,,,,,,,,,,,8
CET-Santa Maria,,0.163,,,,,,,,,,,,8
Colorado School of Traditional Chinese Medicine,,,,,,,,,,,,,,7
Michigan College of Beauty-Troy,,0.534,,,,,,,,,,,,3
Ogle School Hair Skin Nails-Dallas,,0.4734,,,,,,,,,,,,6
Phoenix Seminary,,,,,,,,,,,,,,6
Cheeks Beauty Academy,,0.36,,,,,,,,,,,,7
Colorado School of Healing Arts,,0.6164,,,,,,,,,,,,7
Mt. Diablo Adult Education-Mt. Diablo USD,,0.5736,,,,,,,,,,,,8
Greater Lowell Technical School,,0.7848,,,,,,,0.8182,,,,,1
Academy of Hair Design-Pearl,,0.3519,,,,,,,,,,,,5
Genesis Career College-Lebanon,,0.463,,,,,,,,,,,,5
Southwest Collegiate Institute for the Deaf,,0.1818,,,,,,,,,,,,6
Midwest College of Oriental Medicine-Racine,,0.9412,,,,,,,,,,,,3
Hacienda La Puente Adult Education,,0.7537,,,,,,,,,,,,8
La Belle Beauty Academy,,0.8239,,,,,,,,,,,,5
Hawaii Community College,,0.3315,,,,,,,,,,,,8
Robert Fiance Beauty Schools-North Plainfield,,0.5481,,,,,,,,,,,,2
Long Island Beauty School-Hauppauge,,0.543,,,,,,,,,,,,2
Buckeye Joint Vocational School,,0.3529,,,,,,,,,,,,3
Sandusky Career Center,,0.65,,,,,,,,,,,,3
Central Texas Beauty College-Temple,,0.4621,,,,,,,,,,,,6
Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,,0.7569,,,,,,,0.2703,,,,,2
Empire Beauty School-Brooklyn,,0.4394,,,,,,,,,,,,2
Eastern New Mexico University Ruidoso Branch Community College,,0.3016,,,,,,,,,,,,6
United Education Institute-Ontario,,0.377,,,,,,,,,,,,8
United Education Institute-Encino,,0.3988,,,,,,,,,,,,8
Beacon College,,0.0889,,,,,,,0.507,,,,,5
Acupuncture and Integrative Medicine College-Berkeley,,,,,,,,,,,,,,8
Estrella Mountain Community College,,0.2331,,,,,,,,,,,,6
Heartland Community College,,0.24,,,,,,,,,,,,3
University of the Potomac-Washington DC Campus,,0.5385,,,,,,,,,,,,2
Rabbi Jacob Joseph School,,,,,,,,,0.8667,,,,,2
The Salon Professional Academy-Melbourne,,0.52,,,,,,,,,,,,5
Albert Einstein College of Medicine,,,,,,,,,,,,,,2
Fortis Institute-Scranton,,0.5338,,,,,,,,,,,,2
Milan Institute of Cosmetology,,0.4884,,,,,,,,,,,,6
Everglades University,,0.7809,,,,,,,0.7493,,,,,5
Seminar L'moros Bais Yaakov,,0.0311,,,,,,,0.8341,,,,,2
Herzing University-Orlando,,0.7668,,,,,,,0.7576,,,,,5
Cortiva Institute-Pompano,,0.6714,,,,,,,,,,,,5
College of Biblical Studies-Houston,,0.8478,,,,,,,,,,,,6
Mid-EastCTC-Adult Education,,0.4907,,,,,,,,,,,,3
Polaris Career Center,,0.5721,,,,,,,,,,,,3
Sharps Academy of Hair Styling,,0.3182,,,,,,,,,,,,3
The College of Health Care Professions-Northwest,,0.6069,,,,,,,,,,,,6
School of Professional Horticulture New York Botanical Garden,,0.7,,,,,,,,,,,,2
Fortis College,,0.3571,,,,,,,,,,,,5
Alhambra Beauty College,,0.7209,,,,,,,,,,,,8
UEI College-Gardena,,0.4124,,,,,,,,,,,,8
Asian-American International Beauty College,,0.8024,,,,,,,,,,,,8
Copper Mountain Community College,,0.4651,,,,,,,,,,,,8
Diversified Vocational College,,0.8276,,,,,,,,,,,,8
UEI College-Fresno,,0.4628,,,,,,,,,,,,8
Santiago Canyon College,,0.3493,,,,,,,,,,,,8
Southern California Institute of Technology,,0.6376,,,,,,,,,,,,8
Soka University of America,,0.0025,,,,,,,0.4008,635.0,700.0,,1337.0,8
Clarks Summit University,,0.2183,,,,,,,0.4058,,,,,2
Advance Beauty College,,0.7751,,,,,,,,,,,,8
Los Angeles Pacific University,,0.8468,,,,,,,,,,,,8
World Mission University,,0.9842,,,,,,,,,,,,8
Yo San University of Traditional Chinese Medicine,,,,,,,,,,,,,,8
Cosmetology Concepts Niles,,0.4324,,,,,,,,,,,,3
Delta College Inc,,0.5114,,,,,,,,,,,,5
Tri-State Cosmetology Institute,,0.546,,,,,,,,,,,,6
American Institute of Interior Design,,0.6429,,,,,,,,,,,,6
Brookline College-Tempe,,0.5251,,,,,,,,,,,,6
Inter American University of Puerto Rico-School of Optometry,,,,,,,,,,,,,,9
Schiller International University,,0.3333,,,,,,,,,,,,5
Coconino Community College,,0.2811,,,,,,,,,,,,6
Emma's Beauty Academy-Juana Diaz,,0.2,,,,,,,,,,,,9
Brillare Beauty Institute,,0.3772,,,,,,,,,,,,5
Columbia Central University-Yauco,,0.2619,,,,,,,,,,,,9
Pima Medical Institute-Denver,,0.558,,,,,,,,,,,,7
ASA College,,0.5776,,,,,,,,,,,,2
Ohio State School of Cosmetology-Heath,,0.3939,,,,,,,,,,,,3
Yeshivas Novominsk,,,,,,,,,0.9474,,,,,2
Southern Careers Institute-Corpus Christi,,0.4709,,,,,,,,,,,,6
Rabbinical College of Ohr Shimon Yisroel,,,,,,,,,,,,,,2
Carroll Community College,,0.2166,,,,,,,,,,,,2
Galen College of Nursing-Tampa Bay,,0.6869,,,,,,,,,,,,5
Galen College of Nursing-San Antonio,,0.7705,,,,,,,,,,,,6
Sarasota School of Massage Therapy,,0.734,,,,,,,,,,,,5
Schuyler Steuben Chemung Tioga Allegany BOCES,,0.5333,,,,,,,,,,,,2
Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,,0.7647,,,,,,,,,,,,2
Central Susquehanna Intermediate Unit LPN Career,,0.6068,,,,,,,0.6262,,,,,2
Myotherapy College of Utah,,0.6239,,,,,,,,,,,,7
City College-Gainesville,,0.5818,,,,,,,,,,,,5
Arizona State University-West,,0.1797,,,,,,,0.8175,585.0,570.0,,1132.0,6
Ace Cosmetology and Barber Training Center,,0.6019,,,,,,,,,,,,1
Stage One-The Hair School,,0.1899,,,,,,,,,,,,5
Empire Beauty School-Malden,,0.4557,,,,,,,,,,,,1
Xenon International Academy-Omaha,,0.3164,,,,,,,,,,,,4
Capri Institute of Hair Design-Brick,,0.6214,,,,,,,,,,,,2
Capri Institute of Hair Design-Kenilworth,,0.6168,,,,,,,,,,,,2
Capri Institute of Hair Design-Paramus,,0.6022,,,,,,,,,,,,2
Orlo School of Hair Design and Cosmetology,,0.4754,,,,,,,,,,,,2
Eastland-Fairfield Career and Technical Schools,,0.5377,,,,,,,,,,,,3
Empire Beauty School-Cincinnati,,0.5179,,,,,,,,,,,,3
Mahoning County Career and Technical Center,,0.4409,,,,,,,,,,,,3
Pickaway Ross Joint Vocational School District,,0.4904,,,,,,,,,,,,3
Pioneer Career and Technology Center,,0.5814,,,,,,,,,,,,3
Raphael's School of Beauty Culture Inc-Boardman,,0.4261,,,,,,,,,,,,3
Scioto County Career Technical Center,,0.3173,,,,,,,,,,,,3
Life Pacific University,,0.1656,,,,,,,0.9137,516.0,485.0,,991.0,8
Lake Erie College of Osteopathic Medicine,,0.5714,,,,,,,,,,,,2
Highlights Beauty Schools,,0.4037,,,,,,,,,,,,8
Empire Beauty School-Green Bay,,0.3103,,,,,,,,,,,,3
Warren County Career Center,,0.4947,,,,,,,,,,,,3
Paul Mitchell the School-Wichita,,0.3214,,,,,,,,,,,,4
Pinnacle Institute of Cosmetology,,0.4,,,,,,,,,,,,5
Southern Careers Institute-Pharr,,0.346,,,,,,,,,,,,6
Laurel Technical Institute,,0.3962,,,,,,,0.9186,,,,,2
Florida National University-Main Campus,,0.6383,,,,,,,,,,,,5
Georgia Institute of Cosmetology,,0.7103,,,,,,,,,,,,5
Nouvelle Institute,,0.8169,,,,,,,,,,,,5
Franklin Technology Center Adult Education,,0.5401,,,,,,,,,,,,4
Professional Technical Institution,,0.4839,,,,,,,,,,,,9
Erikson Institute,,,,,,,,,,,,,,3
South Texas College,,0.1557,,,,,,,,,,,,6
Pike County Joint Vocational School District,,0.4545,,,,,,,,,,,,3
Lorain County Joint Vocational School District,,0.5875,,,,,,,,,,,,3
Roger Williams University School of Law,,,,,,,,,,,,,,1
California State University-Monterey Bay,,0.1959,,,,,,,0.7528,543.0,520.0,,1059.0,8
Ohio Media School-Valley View,,0.6048,,,,,,,1.0,,,,,3
EINE Inc,,0.7273,,,,,,,,,,,,1
Marian Health Careers Center-Los Angeles Campus,,0.719,,,,,,,,,,,,8
Cleveland Clinic Health System-School of Diagnostic Imaging,,0.4651,,,,,,,,,,,,3
Academy for Nursing and Health Occupations,,0.7844,,,,,,,,,,,,5
Shawsheen Valley School of Practical Nursing,,0.7027,,,,,,,,,,,,1
